name,category,roadAddress,address,latitude,longitude,period,count,items
성정시장,상설장,충청남도 천안시 서북구 양지21길 31,충청남도 천안시 서북구 성정동 736-7,36.81267105,127.1392027,매일,66.0,농산물+축산물+가공식품+의류+신발+가정용품+음식점
일동전통시장,상설장,경기도 포천시 일동면 화동로 1090-14,경기도 포천시 일동면 기산리 94-10,37.95978103,127.3194792,매일,35.0,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점
운천전통시장,상설장+4일장,경기도 포천시 영북면 영북로 177번길 25,경기도 포천시 영북면 운천리 513-15,38.0899666,127.2722253,4일+9일,48.0,농산물
통복시장,상설장+5일장,경기도 평택시 통복시장로25번길 10,경기도 평택시 통복동 70-29,36.99782533,127.0850763,5일+10일,594.0,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점
송탄시장,상설장+4일장,경기도 평택시 탄현로346번길 38,경기도 평택시 지산동 754-28,37.08146214,127.0567273,4일+9일,142.0,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점
안중시장,상설장,경기도 평택시 안중읍 안현로서3길 34,경기도 평택시 안중읍 안중리 269-3,36.98766055,126.9276616,1일+6일,115.0,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점
평택국제중앙시장,상설장,경기도 평택시 중앙시장로 16,경기도 평택시 신장동 317-70,37.07987834,127.0521939,매일,217.0,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점
서정리시장,상설장,경기도 평택시 서정역로 37,경기도 평택시 서정동 328-35,37.05742213,127.0555064,2일+7일,100.0,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점
봉일천시장,상설장,경기도 파주시 조리읍 봉천로 33-1,경기도 파주시 조리읍 봉일천리 168-4,37.74353235,126.8078457,2일+7일,139.0,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점
전주신중앙시장(신중앙시장),상설장,전북특별차치도 전주시 완산구 태평5길 33,전북특별차치도 전주시 완산구 태평동 41-5,35.8241473,127.1434872,매일,161.0,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점
모래내시장(전주),상설장,전북특별차치도 전주시 덕진구 모래내4길 8-8,전북특별차치도 전주시 덕진구 인후동2가 203-10,35.833574,127.1438694,매일,219.0,농산물+축산물+수산물+의류+음식점
금촌명동로시장,상설장,경기도 파주시 명동길 53,경기도 파주시 금촌동 323-1,37.76330134,126.773362,매일,85.0,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점
금촌문화로시장,상설장,경기도 파주시 문화로 89-1,경기도 파주시 금촌동 66-4,37.76225007,126.7748519,매일,130.0,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점
석바위시장,상설장,인천광역시 미추홀구 경인로 485번길 17-1,인천광역시 미추홀구 주안동 922-6,37.46015327,126.6927408,매일,171.0,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점
용현시장,상설장,인천광역시 미추홀구 용삼길 13,인천광역시 미추홀구 용현동 459-92,37.45756673,126.6503669,매일,214.0,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점
장호원전통시장,상설장+4일장,경기도 이천시 장호원읍 장감로77번길 14,경기도 이천시 장호원읍 장호원리 350,37.11809055,127.631251,4일+9일,64.0,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+근린생활서비스
사기막골도자기시장,상설장,경기도 이천시 경충대로2993번길 24,경기도 이천시 사음동 536,37.29483104,127.4119796,매일,62.0,의류+가정용품+음식점+근린생활서비스
관고전통시장,상설장,경기도 이천시 중리천로 31번길 22,경기도 이천시 관고동 10-13,37.2808079,127.4403637,2일+7일,99.0,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+근린생활서비스
의정부제일시장,상설장,경기도 의정부시 태평로 73번길 20,경기도 의정부시 의정부동 160,37.74011951,127.0500672,매일,334.0,농산물+축산물+수산물+가공식품+의류
의정부청과야채시장,상설장,경기도 의정부시 시민로 157번길,,,,매일,67.0,농산물
의정부시장,상설장,경기도 의정부시 시민로143번길 40,경기도 의정부시 의정부동 148-5,37.73944331,127.0511786,매일,40.0,농산물+축산물+수산물+가공식품
의왕도깨비시장,상설장,경기도 의왕시 부곡시장길 18,경기도 의왕시 삼동 192-554,37.3194783,126.9507208,매일,128.0,농산물+축산물+수산물
신정상가시장,상설장,울산광역시 남구 중앙로241번길 14-1,울산광역시 남구 신정동 634-10,35.54197244,129.3090699,매일,252.0,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+근린생활서비스
죽전로데오상점가시장,상설장,경기도 용인시 수지구 용구대로 2725-1,경기도 용인시 수지구 죽전동 1003-53,37.32876491,127.1080484,매일,135.0,가공식품+의류+신발+가정용품+음식점+근린생활서비스
오색시장,상설장+3일장,경기도 오산시 오산로 272번길 21,경기도 오산시 오산동 853-27,37.15133204,127.0709405,3일+8일,319.0,농산물+축산물+수산물+가공식품+의류+신발+음식점
전곡전통시장,상설장,경기도 연천군 전곡읍 전곡로172번길 4-15,경기도 연천군 전곡읍 전곡리 479-30,38.02715221,127.0681662,매일,64.0,가정용품+음식점
여주한글시장(여주중앙로상점가),상설장+5일장,경기도 여주시 세종로14번길 24-1,경기도 여주시 하동 268-4,37.29755162,127.6342927,5일+10일,180.0,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점
용문천년시장,상설장+5일장,경기도 양평군 용문면 용문시장2길 11,경기도 양평군 용문면 다문리 307-5,37.48396864,127.5947554,5일+10일,153.0,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점
상계중앙시장,상설장,서울특별시 노원구 상계로 27길 32,서울특별시 노원구 상계동 389-641,37.65994072,127.0698633,매일,82.0,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점
양수리전통시장(양평양수리시장),상설장,경기도 양평군 양서면 양수로150번길 3-15,경기도 양평군 양서면 양수리 556-3,37.54506648,127.3197944,1일+6일,203.0,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점
기장시장,상설장,부산광역시 기장군 기장읍 읍내로104번길 16,부산광역시 기장군 기장읍 대라리 72-1,35.24369155,129.2148692,매일,136.0,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점
중부농수산물시장,상설장,경기도 안양시 만안구 안양로248번길23,경기도 안양시 만안구 안양동 622-337,37.39590837,126.9256223,매일,30.0,농산물+가공식품
